order_item_id,order_id,product_id,quantity,price_per_unit
1,18445,759,8,379.59
2,14279,696,10,229.42
3,277,414,10,76.17
4,11130,76,8,143.49
5,17050,475,9,127.19
6,21353,541,7,89.16
7,8998,711,9,129.92
8,13353,141,3,39.75
9,4077,753,8,239.73
10,9340,529,6,453.6
11,12860,98,4,187.14
12,279,187,2,325.22
13,14527,680,7,428.34
14,16363,566,1,247.38
15,17845,760,3,353.94
16,17297,686,2,454.74
17,6888,172,3,473.16
18,13799,38,2,78.63
19,10687,765,5,177.26
20,6532,51,7,275.73
21,16860,320,8,243.71
22,15705,594,4,56.88
23,7612,631,1,114.65
24,744,326,3,264.53
25,16563,287,6,226.03
26,15979,612,8,57.41
27,10391,269,6,334.8
28,3784,99,2,282.65
29,17711,243,6,128.08
30,14223,12,7,166.81
31,13883,478,8,472.08
32,435,131,7,367.93
33,13688,25,4,256.37
34,7413,719,10,158.52
35,5175,62,6,397.75
36,10127,308,4,86.19
37,10920,668,9,77.16
38,14942,169,3,471.03
39,19192,306,8,274.92
40,8772,225,2,222.74
41,6602,101,1,61.53
42,5407,331,3,434.08
43,13982,519,3,351.29
44,18787,423,9,240.46
45,20476,291,3,345.7
46,4175,24,2,380.39
47,18283,362,6,35.91
48,19523,478,7,135.9
49,17773,591,8,473.12
50,4992,601,2,46.3
51,5313,573,4,375.31
52,9365,278,4,53.89
53,10558,539,8,430.21
54,6577,651,8,34.77
55,21213,386,4,220.59
56,18986,485,7,402.98
57,2053,301,5,495.74
58,16351,621,9,287.93
59,350,303,6,291.78
60,20712,276,3,119.3
61,14054,622,6,22.27
62,30,92,6,417.94
63,18008,654,6,204.8
64,12929,334,7,311.09
65,949,232,8,379.45
66,21053,411,7,51.46
67,3619,208,1,130.15
68,1153,720,2,366.68
69,21366,143,6,206.66
70,7799,527,8,161.96
71,13713,764,9,433.77
72,19087,731,9,51.99
73,16721,333,9,323.56
74,7944,398,9,223.01
75,8347,226,4,422.38
76,17328,438,9,312.32
77,10039,754,2,291.77
78,1428,363,8,451.69
79,8433,529,7,208.32
80,3280,430,1,448.28
81,12210,142,9,251.81
82,19016,490,9,305.22
83,12361,594,1,91.34
84,15400,205,10,479.22
85,4229,28,10,440.87
86,33,570,3,400.05
87,1458,5,10,90.66
88,20163,403,7,363.28
89,14647,744,7,79.77
90,18274,150,10,164.78
91,19409,737,9,373.36
92,7088,494,8,200.98
93,664,738,6,348.95
94,4424,209,4,198.83
95,18342,208,2,490.4
96,9635,3,8,274.09
97,14353,323,5,281.44
98,20063,240,4,234.58
99,17334,569,6,28.55
100,2693,354,3,484.77
101,9791,611,3,183.06
102,7840,627,5,448.78
103,18272,31,1,255.41
104,7007,32,4,216.94
105,17806,12,7,78.39
106,14286,319,1,60.04
107,3184,343,1,354.51
108,3486,721,4,377.58
109,15180,562,1,326.35
110,4995,208,6,358.78
111,7212,593,5,359.08
112,14655,579,5,84.28
113,6819,569,2,475.22
114,4730,559,2,410.66
115,9139,468,3,342.43
116,8403,283,8,134.45
117,4277,370,1,210.46
118,19037,286,2,84.13
119,13023,757,1,69.82
120,19733,545,7,173.49
121,6084,344,3,184.62
122,18437,500,2,226.11
123,5990,579,1,138.76
124,5094,393,7,193.18
125,155,2,6,379.94
126,10432,687,9,493.55
127,20316,608,3,149.59
128,8108,338,8,455.27
129,15573,170,5,251.27
130,1850,463,1,215.98
131,9789,556,1,266.1
132,15123,111,8,81.48
133,13367,600,6,125.04
134,11158,44,7,310.49
135,16344,549,1,237.51
136,11065,52,10,441.82
137,7404,599,4,86.89
138,12135,129,3,54.57
139,13482,509,9,406.47
140,8818,193,6,143.6
141,8295,96,9,393.64
142,14836,432,10,269.35
143,20701,689,7,40.42
144,13871,689,4,22.39
145,10042,651,7,27.38
146,945,16,8,102.94
147,19089,305,2,34.56
148,8013,564,2,191.78
149,12368,418,1,444.38
150,11121,384,9,138.81
151,5025,172,10,498.49
152,14923,80,7,116.82
153,5860,759,3,375.07
154,15900,155,3,253.14
155,21017,467,3,20.13
156,21627,61,8,317.57
157,8133,114,5,270.84
158,3531,199,1,159.78
159,3957,321,9,378.85
160,5115,383,6,90.5
161,5439,97,1,414.21
162,1191,377,7,441.38
163,9091,597,9,50.76
164,793,174,9,75.23
165,47,347,5,451.48
166,17394,207,6,146.36
167,18635,685,10,465.86
168,4244,373,4,102.12
169,12265,504,10,326.91
170,14722,386,7,171.49
171,18938,42,2,446.01
172,11412,500,1,249.61
173,16059,164,6,426.38
174,11431,444,5,153.74
175,12259,475,3,221.02
176,19325,759,6,379.13
177,13189,533,6,388.59
178,3377,106,8,344.54
179,10355,187,10,277.56
180,18804,309,9,389.45
181,14645,575,2,395.83
182,8745,171,3,19.91
183,15730,629,5,162.01
184,4408,263,6,288.22
185,4494,697,2,474.95
186,9651,440,9,357.85
187,8124,505,4,364.75
188,14934,536,8,442.54
189,2344,631,3,115.79
190,4640,525,5,478.43
191,4549,473,1,427.08
192,17013,283,10,66.09
193,11203,122,5,229.68
194,791,313,9,364.24
195,21068,398,2,319.39
196,3978,186,1,188.86
197,17206,96,5,94.09
198,11317,557,6,204.07
199,2933,655,3,343.64
200,16171,642,7,57.94
201,20777,532,6,15.11
202,17286,57,4,14.36
203,16048,700,5,31.92
