order_id,order_date,customer_id,seller_id,order_status
1,06-12-2022,753,3,Pending
2,17-08-2024,541,49,Delivered
3,20-01-2023,39,26,Cancelled
4,10-09-2024,551,28,Delivered
5,10-01-2024,288,41,Cancelled
6,27-02-2024,441,8,Cancelled
7,14-12-2022,423,13,Delivered
8,07-06-2024,581,27,Pending
9,14-01-2023,885,14,Pending
10,12-08-2024,560,52,Cancelled
11,09-03-2023,642,35,Pending
12,10-08-2024,529,22,Pending
13,29-01-2024,613,50,Delivered
14,19-07-2023,642,23,Cancelled
15,15-11-2024,158,25,Delivered
16,02-07-2024,607,44,Delivered
17,27-08-2023,610,25,Pending
18,04-07-2024,366,32,Delivered
19,07-05-2023,226,30,Pending
20,07-05-2023,764,45,Delivered
21,12-05-2024,849,42,Delivered
22,17-06-2023,403,4,Pending
23,29-09-2024,359,18,Cancelled
24,29-11-2022,891,13,Pending
25,30-06-2023,30,19,Pending
26,04-08-2024,831,48,Pending
27,31-05-2024,305,54,Delivered
28,24-09-2024,311,49,Cancelled
29,22-07-2024,540,11,Cancelled
30,23-12-2023,170,10,Cancelled
31,25-07-2024,15,38,Delivered
32,01-05-2023,130,39,Pending
33,09-03-2023,555,15,Cancelled
34,06-05-2023,628,27,Delivered
35,13-04-2023,90,22,Cancelled
36,28-09-2024,60,25,Cancelled
37,18-09-2024,414,22,Cancelled
38,08-03-2023,525,6,Delivered
39,03-02-2024,11,21,Pending
40,30-05-2024,407,40,Delivered
41,29-06-2024,785,11,Delivered
42,21-05-2023,64,30,Cancelled
43,04-08-2024,15,3,Pending
44,02-09-2023,394,54,Pending
45,07-05-2024,658,21,Cancelled
46,24-01-2024,652,48,Delivered
47,20-10-2024,444,50,Pending
48,04-09-2024,876,2,Pending
49,07-08-2024,370,27,Delivered
50,02-11-2023,399,28,Delivered
51,24-08-2023,776,52,Cancelled
52,01-09-2023,450,51,Delivered
53,19-02-2024,470,34,Cancelled
54,08-02-2024,720,41,Cancelled
55,20-10-2023,535,34,Pending
56,16-02-2023,716,23,Cancelled
57,13-11-2024,349,20,Delivered
58,20-08-2024,689,3,Delivered
59,08-11-2023,568,54,Delivered
60,07-03-2024,861,5,Pending
61,09-11-2024,874,13,Delivered
62,24-04-2023,605,41,Cancelled
63,06-08-2023,427,7,Cancelled
64,14-03-2024,893,22,Delivered
65,15-08-2024,164,40,Pending
66,10-04-2023,455,15,Delivered
67,03-02-2024,595,21,Cancelled
68,16-09-2023,27,3,Cancelled
69,09-07-2023,564,20,Cancelled
70,08-05-2023,607,40,Cancelled
71,28-05-2023,302,15,Pending
72,19-05-2024,182,54,Pending
73,03-08-2024,441,2,Delivered
74,08-09-2023,433,23,Cancelled
75,07-03-2024,853,7,Delivered
76,16-01-2024,569,2,Pending
77,12-04-2023,350,40,Cancelled
78,24-12-2022,644,8,Cancelled
79,15-04-2023,742,14,Pending
80,02-12-2022,181,12,Delivered
81,12-11-2023,165,29,Delivered
82,07-09-2023,673,7,Delivered
83,10-04-2024,169,2,Delivered
84,25-12-2022,603,42,Cancelled
85,20-10-2024,98,44,Pending
86,05-04-2023,197,11,Cancelled
87,22-12-2023,770,44,Cancelled
88,19-01-2024,131,25,Pending
89,21-05-2023,438,22,Pending
90,06-06-2024,810,45,Pending
91,14-06-2024,149,30,Delivered
92,04-10-2023,171,33,Delivered
93,17-05-2023,320,5,Cancelled
94,22-02-2023,247,6,Cancelled
95,27-07-2024,643,15,Pending
96,21-10-2023,328,5,Pending
97,07-09-2024,117,28,Pending
98,12-03-2023,80,39,Pending
99,04-11-2023,373,31,Pending
100,23-05-2024,651,19,Delivered
101,11-05-2023,388,32,Pending
102,31-12-2022,564,50,Pending
103,18-12-2023,10,30,Pending
104,18-02-2023,84,45,Delivered
105,03-09-2023,865,9,Pending
106,06-09-2023,679,54,Cancelled
107,24-03-2024,573,7,Pending
108,30-11-2022,525,36,Delivered
109,29-05-2023,700,1,Delivered
110,29-11-2022,277,44,Pending
111,27-09-2024,865,27,Delivered
112,19-09-2023,787,27,Pending
113,08-10-2024,247,21,Pending
114,26-08-2023,300,9,Delivered
115,15-02-2023,684,16,Pending
116,22-07-2024,792,42,Cancelled
117,09-12-2022,453,14,Cancelled
118,03-01-2024,527,8,Cancelled
119,25-06-2023,419,42,Cancelled
120,15-06-2024,810,14,Cancelled
121,06-11-2023,582,54,Delivered
122,26-06-2024,656,54,Pending
123,03-12-2023,594,5,Pending
124,11-12-2023,241,1,Pending
125,27-10-2023,168,44,Pending
126,06-08-2024,264,15,Pending
127,31-08-2024,896,6,Pending
128,03-01-2024,793,38,Cancelled
129,02-08-2024,74,23,Cancelled
130,16-12-2022,303,33,Delivered
131,13-04-2023,817,2,Cancelled
132,17-02-2024,348,15,Delivered
133,18-06-2024,501,7,Delivered
134,19-09-2024,2,11,Cancelled
135,10-11-2023,611,21,Pending
136,01-10-2023,694,25,Pending
137,18-08-2024,770,51,Delivered
138,30-09-2023,445,21,Pending
139,14-03-2023,204,26,Pending
140,15-03-2023,275,4,Pending
141,19-08-2024,869,13,Cancelled
142,11-06-2023,827,3,Pending
143,26-10-2024,184,9,Cancelled
144,23-06-2024,630,48,Pending
145,24-05-2024,693,46,Pending
