shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
1,1,17-11-2023,23-01-2024,FedEx,In Transit
2,2,10-12-2022,07-08-2024,UPS,Delivered
3,3,21-05-2023,05-01-2024,FedEx,Delivered
4,4,12-08-2024,08-04-2024,USPS,Delivered
5,5,18-01-2024,26-07-2024,USPS,Returned
6,6,20-05-2023,28-02-2024,DHL,Delivered
7,7,06-11-2023,30-05-2024,USPS,In Transit
8,8,24-01-2023,05-05-2024,USPS,Delivered
9,9,10-06-2023,01-06-2024,DHL,Returned
10,10,19-06-2023,01-08-2024,DHL,Returned
11,11,27-01-2024,,UPS,Delivered
12,12,02-04-2023,13-05-2024,FedEx,Returned
13,13,13-10-2024,27-05-2024,FedEx,Delivered
14,14,14-01-2024,03-06-2024,USPS,In Transit
15,15,27-12-2023,24-06-2024,DHL,Delivered
16,16,29-08-2023,05-06-2024,FedEx,Returned
17,17,03-01-2024,30-11-2023,DHL,In Transit
18,18,04-08-2023,,FedEx,Returned
19,19,28-12-2022,22-03-2024,DHL,Delivered
20,20,07-12-2023,13-02-2024,DHL,Returned
21,21,12-06-2023,27-02-2024,UPS,In Transit
22,22,10-09-2023,26-11-2023,DHL,Returned
23,23,17-04-2024,19-01-2024,DHL,Returned
24,24,24-10-2024,10-03-2024,DHL,In Transit
25,25,11-03-2023,09-03-2024,FedEx,In Transit
26,26,02-12-2023,26-07-2024,FedEx,Delivered
27,27,28-02-2023,25-09-2024,DHL,In Transit
28,28,02-08-2023,,UPS,Returned
29,29,13-01-2023,25-07-2024,DHL,Returned
30,30,03-07-2023,14-02-2024,USPS,Delivered
31,31,01-04-2023,,UPS,Returned
32,32,04-10-2024,04-12-2023,USPS,Delivered
33,33,01-11-2024,23-06-2024,DHL,Returned
34,34,17-04-2024,02-07-2024,UPS,In Transit
35,35,13-02-2023,27-01-2024,DHL,Delivered
36,36,20-08-2024,21-04-2024,USPS,In Transit
37,37,30-05-2023,,DHL,Returned
38,38,29-08-2024,07-06-2024,DHL,In Transit
39,39,07-05-2024,19-03-2024,DHL,In Transit
40,40,09-01-2024,22-05-2024,DHL,Delivered
41,41,14-11-2023,,DHL,In Transit
42,42,04-06-2023,25-04-2024,DHL,In Transit
43,43,06-11-2023,12-11-2024,USPS,In Transit
44,44,05-02-2023,09-03-2024,UPS,Delivered
45,45,13-02-2023,13-08-2024,FedEx,Returned
46,46,05-04-2024,01-12-2023,UPS,Delivered
47,47,31-08-2023,30-12-2023,USPS,In Transit
48,48,13-03-2023,27-08-2024,UPS,Returned
49,49,09-10-2024,05-05-2024,UPS,Delivered
50,50,28-04-2023,05-02-2024,UPS,In Transit
51,51,21-10-2023,01-10-2024,UPS,Delivered
52,52,21-05-2024,25-10-2024,DHL,Delivered
53,53,11-11-2023,01-08-2024,UPS,Delivered
54,54,09-04-2024,26-06-2024,USPS,Returned
55,55,22-12-2023,21-07-2024,DHL,Returned
56,56,09-02-2023,,UPS,Returned
57,57,01-04-2023,,FedEx,Returned
58,58,01-07-2024,,DHL,In Transit
59,59,08-08-2024,13-06-2024,DHL,Delivered
60,60,12-02-2023,25-09-2024,FedEx,In Transit
61,61,28-09-2023,,USPS,In Transit
62,62,01-07-2023,18-06-2024,UPS,In Transit
63,63,02-11-2024,13-01-2024,DHL,Returned
64,64,06-02-2024,03-09-2024,UPS,Returned
65,65,05-04-2023,20-11-2023,UPS,Delivered
66,66,30-05-2024,,UPS,Delivered
67,67,15-11-2024,22-03-2024,FedEx,In Transit
68,68,23-05-2024,,UPS,Delivered
69,69,08-03-2024,22-09-2024,FedEx,In Transit
70,70,16-10-2024,,USPS,Returned
71,71,11-11-2024,10-04-2024,FedEx,Delivered
72,72,22-09-2023,,UPS,Returned
73,73,26-10-2023,,FedEx,In Transit
74,74,06-01-2023,,UPS,Returned
75,75,12-06-2023,,DHL,Returned
76,76,25-10-2023,,UPS,Delivered
77,77,18-04-2024,21-07-2024,DHL,Delivered
78,78,03-10-2023,,DHL,In Transit
79,79,09-12-2023,22-07-2024,UPS,Returned
80,80,19-08-2023,18-05-2024,DHL,Returned
81,81,26-05-2023,,FedEx,In Transit
82,82,11-04-2024,27-10-2024,FedEx,In Transit
83,83,18-07-2024,15-08-2024,FedEx,Delivered
84,84,24-12-2022,,FedEx,Delivered
85,85,24-12-2022,,UPS,In Transit
86,86,21-10-2023,13-02-2024,DHL,Delivered
87,87,28-12-2023,,FedEx,Delivered
88,88,09-01-2024,23-10-2024,UPS,In Transit
89,89,28-07-2024,,UPS,Delivered
90,90,08-08-2024,,UPS,In Transit
91,91,23-07-2023,06-06-2024,FedEx,In Transit
92,92,12-08-2024,05-03-2024,DHL,Delivered
93,93,08-02-2023,,UPS,Returned
94,94,04-01-2023,18-02-2024,DHL,Delivered
95,95,04-01-2024,27-10-2024,USPS,In Transit
96,96,30-01-2023,07-02-2024,DHL,Returned
97,97,13-08-2023,17-07-2024,UPS,Returned
98,98,21-06-2024,22-01-2024,DHL,Delivered
99,99,08-05-2024,15-06-2024,FedEx,Returned
100,100,02-01-2023,21-05-2024,USPS,Delivered
101,101,10-10-2024,23-12-2023,FedEx,In Transit
102,102,08-04-2024,18-05-2024,DHL,Returned
103,103,23-01-2024,,USPS,Delivered
104,104,16-12-2022,10-10-2024,FedEx,In Transit
105,105,16-03-2023,26-07-2024,UPS,Delivered
106,106,02-05-2024,13-12-2023,USPS,Delivered
107,107,15-10-2023,,DHL,Delivered
108,108,30-10-2023,14-01-2024,DHL,Returned
109,109,19-03-2023,04-07-2024,DHL,In Transit
110,110,11-08-2023,04-06-2024,UPS,Delivered
111,111,14-02-2023,19-01-2024,USPS,Returned
112,112,19-03-2023,21-05-2024,FedEx,Returned
113,113,18-05-2024,30-12-2023,DHL,Delivered
114,114,12-02-2024,07-04-2024,UPS,Delivered
115,115,21-09-2024,01-12-2023,USPS,Delivered
116,116,05-02-2023,01-06-2024,UPS,Returned
117,117,18-05-2023,22-10-2024,DHL,Delivered
118,118,21-09-2023,,USPS,Returned
119,119,11-09-2024,,USPS,In Transit
120,120,27-07-2024,30-07-2024,USPS,In Transit
121,121,07-03-2023,12-12-2023,UPS,Returned
122,122,04-10-2023,,DHL,In Transit
123,123,08-10-2024,,UPS,In Transit
124,124,07-06-2023,11-08-2024,UPS,Delivered
125,125,17-04-2024,,FedEx,Returned
126,126,27-08-2024,13-01-2024,USPS,In Transit
127,127,11-01-2023,,FedEx,Returned
128,128,26-11-2022,07-01-2024,FedEx,In Transit
129,129,08-07-2024,,UPS,Delivered
130,130,02-05-2024,22-05-2024,FedEx,In Transit
131,131,15-06-2023,25-05-2024,USPS,In Transit
132,132,07-09-2024,08-07-2024,DHL,Returned
133,133,15-01-2023,,DHL,In Transit
134,134,24-08-2024,,UPS,Returned
135,135,18-11-2024,02-02-2024,FedEx,Delivered
136,136,30-12-2022,13-04-2024,FedEx,Returned
137,137,18-07-2024,21-07-2024,USPS,Returned
138,138,08-07-2023,14-10-2024,UPS,Delivered
139,139,28-11-2022,,USPS,Returned
140,140,21-09-2024,23-05-2024,DHL,In Transit
141,141,25-04-2023,25-12-2023,FedEx,Returned
142,142,25-11-2022,19-10-2024,DHL,In Transit
143,143,01-10-2024,28-10-2024,FedEx,Delivered
144,144,15-11-2023,04-08-2024,UPS,Delivered
145,145,15-11-2024,30-08-2024,FedEx,Returned
146,146,10-08-2024,20-02-2024,USPS,Returned
147,147,26-03-2023,07-03-2024,DHL,In Transit
148,148,01-03-2024,21-08-2024,DHL,Delivered
149,149,09-01-2024,22-09-2024,DHL,Returned
150,150,01-04-2024,,DHL,Delivered
151,151,09-05-2024,11-01-2024,UPS,Delivered
152,152,19-06-2023,22-01-2024,UPS,Returned
153,153,22-12-2023,06-10-2024,FedEx,In Transit
154,154,14-05-2024,,FedEx,Returned
155,155,06-07-2023,,UPS,Returned
156,156,27-02-2024,30-05-2024,DHL,Delivered
157,157,12-05-2023,28-08-2024,UPS,Returned
158,158,31-05-2024,14-03-2024,FedEx,Delivered
159,159,04-02-2024,14-07-2024,USPS,Delivered
160,160,05-08-2023,,USPS,Delivered
161,161,13-03-2024,27-12-2023,UPS,Delivered
162,162,16-08-2024,17-02-2024,UPS,Delivered
163,163,11-01-2024,20-03-2024,DHL,Delivered
164,164,21-05-2024,28-03-2024,USPS,Delivered
165,165,07-02-2024,,FedEx,Returned
166,166,22-03-2023,,DHL,Delivered
167,167,24-03-2024,15-07-2024,DHL,In Transit
168,168,09-08-2024,,UPS,In Transit
169,169,24-12-2023,22-12-2023,UPS,Returned
170,170,14-05-2023,21-04-2024,USPS,Delivered
171,171,24-04-2023,30-12-2023,FedEx,Returned
172,172,05-01-2024,20-04-2024,USPS,Delivered
173,173,28-06-2023,,UPS,Returned
174,174,02-03-2023,02-09-2024,UPS,In Transit
175,175,18-06-2023,18-10-2024,FedEx,Delivered
176,176,04-01-2024,24-05-2024,FedEx,Delivered
177,177,27-07-2024,,FedEx,Returned
178,178,05-03-2023,03-11-2024,DHL,In Transit
179,179,11-05-2023,02-06-2024,UPS,Returned
180,180,26-12-2022,15-06-2024,UPS,Returned
181,181,05-08-2024,09-08-2024,USPS,In Transit
182,182,20-12-2022,17-02-2024,USPS,In Transit
183,183,04-09-2024,05-05-2024,DHL,In Transit
184,184,31-05-2024,08-01-2024,DHL,Delivered
185,185,14-09-2023,21-01-2024,FedEx,Returned
186,186,20-02-2023,23-06-2024,USPS,Delivered
187,187,10-02-2024,15-05-2024,DHL,Delivered
188,188,12-01-2023,,FedEx,Returned
189,189,29-01-2023,28-03-2024,USPS,In Transit
190,190,21-10-2023,01-11-2024,FedEx,In Transit
191,191,12-07-2023,16-07-2024,UPS,In Transit
192,192,05-02-2023,25-03-2024,FedEx,In Transit
193,193,30-11-2022,14-12-2023,DHL,Returned
194,194,06-09-2023,25-04-2024,UPS,In Transit
195,195,09-01-2023,02-09-2024,USPS,In Transit
196,196,26-02-2023,29-12-2023,USPS,In Transit
197,197,05-08-2023,27-06-2024,USPS,In Transit
198,198,17-09-2023,29-04-2024,DHL,Returned
199,199,07-03-2023,,DHL,In Transit
200,200,12-11-2024,27-08-2024,USPS,Delivered
201,201,14-08-2023,,UPS,Delivered
202,202,02-04-2023,,UPS,Returned
203,203,11-05-2024,13-04-2024,FedEx,In Transit
204,204,09-04-2024,04-12-2023,DHL,Delivered
205,205,01-09-2024,29-03-2024,FedEx,In Transit
